order,url,page_type,section,opt_a_link,opt_a_text,opt_a_img,opt_b_link,opt_b_text,opt_b_img,other_images,other_text,match_taxon,match_common,image_credits
5,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=144,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_M_pusillus_144_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_M_pusillus_144_b.jpg,,Micropteropus,,
8,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=139,Match-page,,,,,,,,,,Epomops,,
9,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=140,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_franqueti_140_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_E_franqueti_140_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_E_franqueti_140.jpg,,Epomops,,
7,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=13,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=139,"Option A
A.  Three palatal ridges on soft palate between cheekteeth.B.  Only 2 ridges behind the cheekteeth and these with triangular projections.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomops_2_1a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=140,"Option B
A.  Four palatal ridges on soft palate between cheekteeth.B.  At least 5 ridges behind the cheekteeth and these are thin and serrated without triangular projections.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomops_2_1b.jpg,,,,,©R. Banasiak | ©R. Banasiak
11,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=138,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_wahlbergi_138_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_E_wahlbergi_138_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_E_wahlbergi_138_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_E_wahlbergi_138.jpg,,Epomophorus,,
13,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=134,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_gambianus_134_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_E_gambianus_134_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_E_gambianus_134_a.jpg,,Epomophorus,,
15,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=135,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_labiatus_135_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Results_E_labiatus_135_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_E_labiatus_135_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_E_labiatus_135.jpg,,Epomophorus,,
16,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=137,Match-page,,,,,,,,http://archive.fieldmuseum.org/tanzania/species_images/Results_E_minimus_136_b.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Description_E_minor_136_a.jpg | http://archive.fieldmuseum.org/tanzania/species_images/Maps_E_minor_137.jpg,,Epomophorus,,
14,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=12,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=135,"Option A
A.  The forearm length is greater than, or equal to 67 mm in males, 64 mm in females.B.  The greatest length of the cranium is greater than, or equal to 40 mm in males; 38 in females.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomophorus_2_3a.jpg,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=137,"Option B
A.  The forearm length is less than, or equal to 69 mm in males, 68 mm in females.B.  The greatest length of the cranium is less than, or equal to 42 mm in males, 40 in females.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomophorus_2_3b.jpg,,,,,©R. Banasiak | ©R. Banasiak
12,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=11,Option-page,Section: Megachiroptera,http://archive.fieldmuseum.org/tanzania/Species.asp?ID=134,"Option A
A.  The forearm length is greater than 75 mm.B.  The greatest length of the cranium is greater than, or equal to 50 mm in males, 45 mm in females.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomophorus_2_2a.jpg,http://archive.fieldmuseum.org/tanzania/SkinKey.asp?catalog=2&setion=5&key=12,"Option B
A.  The forearm length is less than 75 mm.B.  The greatest length of the cranium is less than 50 mm in males, 45 mm in females.
Select",http://archive.fieldmuseum.org/tanzania/Key_Images/Epomophorus_2_2b.jpg,,,,,©R. Banasiak | ©R. Banasiak
